                  epoch,             train/loss,              test/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                0.58672,                0.44161,                  0.996,                      1,              0.0009901
                      1,                0.40758,                0.39477,                      1,                      1,              0.0009802
                      2,                0.39864,                0.39503,                      1,                      1,              0.0009703
                      3,                0.39458,                0.39148,                      1,                      1,              0.0009604
                      4,                0.39163,                0.39096,                      1,                      1,              0.0009505
                      5,                0.39113,                 0.3922,                      1,                      1,              0.0009406
                      6,                0.39073,                0.39033,                      1,                      1,              0.0009307
                      7,                0.39067,                0.39076,                      1,                      1,              0.0009208
                      8,                0.39065,                0.39041,                      1,                      1,              0.0009109
                      9,                0.39051,                0.39135,                      1,                      1,               0.000901
                     10,                0.39074,                0.39088,                      1,                      1,              0.0008911
                     11,                0.39059,                0.39053,                      1,                      1,              0.0008812
                     12,                0.39091,                0.39037,                      1,                      1,              0.0008713
                     13,                0.39358,                0.40256,                      1,                      1,              0.0008614
                     14,                0.42302,                0.44089,                  0.992,                      1,              0.0008515
                     15,                0.41575,                0.39352,                      1,                      1,              0.0008416
                     16,                0.39566,                0.39306,                      1,                      1,              0.0008317
                     17,                 0.3935,                0.39119,                      1,                      1,              0.0008218
                     18,                0.39106,                0.39041,                      1,                      1,              0.0008119
                     19,                0.39031,                0.39064,                      1,                      1,               0.000802
                     20,                0.39027,                0.39048,                      1,                      1,              0.0007921
                     21,                0.39012,                0.39035,                      1,                      1,              0.0007822
                     22,                0.39017,                0.39126,                      1,                      1,              0.0007723
                     23,                0.39017,                0.39024,                      1,                      1,              0.0007624
                     24,                0.39007,                0.39037,                      1,                      1,              0.0007525
                     25,                0.39007,                 0.3901,                      1,                      1,              0.0007426
                     26,                0.39006,                0.39009,                      1,                      1,              0.0007327
                     27,                0.39006,                0.39038,                      1,                      1,              0.0007228
                     28,                0.39004,                0.39048,                      1,                      1,              0.0007129
                     29,                0.39011,                0.39059,                      1,                      1,               0.000703
                     30,                0.39026,                0.39043,                      1,                      1,              0.0006931
                     31,                0.39016,                0.39044,                      1,                      1,              0.0006832
                     32,                0.39029,                 0.3903,                      1,                      1,              0.0006733
                     33,                0.39016,                0.39045,                      1,                      1,              0.0006634
