epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.2893,0.65298,2.88591,1.07896,0.37589,0.83659,0.485,0.45628,0.37791,1.70957,0.57351,0.000254963,0.000254963,0.000254963
2,65.0921,0.49686,1.50979,1.00169,0.61727,0.86891,0.7555,0.67378,0.47041,1.10896,0.73858,0.000501172,0.000501172,0.000501172
3,92.5618,0.45036,1.15665,0.97944,0.69787,0.95843,0.82347,0.79017,0.35326,0.85502,0.75896,0.000737231,0.000737231,0.000737231
4,118.009,0.41742,1.03388,0.96742,0.72035,0.89323,0.84786,0.80704,0.35079,0.93131,0.85453,0.000723321,0.000723321,0.000723321
5,145.082,0.39317,0.95718,0.95649,0.76215,0.96542,0.82818,0.77988,0.3661,0.77577,0.85297,0.000708095,0.000708095,0.000708095
6,171.817,0.384,0.91274,0.95141,0.73855,0.98237,0.78563,0.74619,0.33931,0.71486,0.8663,0.000692869,0.000692869,0.000692869
7,196.965,0.36591,0.86751,0.94488,0.76485,0.99361,0.80898,0.76668,0.3242,0.66875,0.8588,0.000677643,0.000677643,0.000677643
8,223.786,0.3442,0.83444,0.93981,0.75758,0.98957,0.8024,0.78037,0.28985,0.67883,0.86284,0.000662417,0.000662417,0.000662417
9,249.968,0.33926,0.80809,0.93511,0.75362,0.99033,0.81108,0.77848,0.29449,0.65926,0.87504,0.00064719,0.00064719,0.00064719
10,275.008,0.33684,0.78688,0.93283,0.7498,0.99153,0.7889,0.77105,0.27812,0.62845,0.86846,0.000631964,0.000631964,0.000631964
11,301.899,0.3248,0.77566,0.92823,0.7608,0.99285,0.81464,0.793,0.27813,0.67082,0.86319,0.000616738,0.000616738,0.000616738
12,328.479,0.32017,0.74031,0.92818,0.76526,0.99233,0.80118,0.77668,0.26248,0.58737,0.86379,0.000601512,0.000601512,0.000601512
13,353.525,0.31862,0.74336,0.9235,0.79028,0.99151,0.82187,0.80807,0.2334,0.56648,0.85592,0.000586286,0.000586286,0.000586286
14,380.353,0.30104,0.71159,0.92111,0.7634,0.99713,0.83939,0.82374,0.24781,0.57263,0.86279,0.000571059,0.000571059,0.000571059
15,406.844,0.30251,0.71331,0.92044,0.75664,0.99272,0.81141,0.79541,0.24417,0.56363,0.86693,0.000555833,0.000555833,0.000555833
16,432.027,0.29816,0.70329,0.9203,0.77726,0.98816,0.82946,0.81063,0.24714,0.58565,0.86861,0.000540607,0.000540607,0.000540607
17,458.013,0.29409,0.6794,0.91745,0.75364,0.98807,0.80316,0.78485,0.2618,0.6207,0.8702,0.000525381,0.000525381,0.000525381
18,485.158,0.29353,0.67808,0.91636,0.75991,0.98558,0.81283,0.79705,0.24124,0.5943,0.86313,0.000510155,0.000510155,0.000510155
19,509.839,0.28812,0.6665,0.91154,0.71935,0.99593,0.79716,0.78341,0.22351,0.59676,0.85561,0.000494928,0.000494928,0.000494928
20,536.608,0.27409,0.65104,0.90833,0.77682,0.97623,0.83472,0.82247,0.20784,0.52834,0.85533,0.000479702,0.000479702,0.000479702
21,563.381,0.27684,0.65797,0.91342,0.76896,0.99572,0.86041,0.84841,0.21017,0.54894,0.85616,0.000464476,0.000464476,0.000464476
22,589.642,0.27175,0.64809,0.90958,0.76867,0.98708,0.82893,0.81843,0.22215,0.56942,0.85438,0.00044925,0.00044925,0.00044925
23,616.07,0.26571,0.62782,0.91034,0.76792,0.98934,0.8314,0.81475,0.22297,0.52153,0.85967,0.000434024,0.000434024,0.000434024
24,643.197,0.2745,0.63829,0.90942,0.76494,0.99397,0.81475,0.80425,0.20229,0.55582,0.84871,0.000418797,0.000418797,0.000418797
25,669.657,0.27148,0.63311,0.9063,0.76397,0.99529,0.81537,0.80105,0.2123,0.52092,0.85178,0.000403571,0.000403571,0.000403571
26,695.894,0.25839,0.61957,0.90535,0.77235,0.97692,0.81828,0.80696,0.21644,0.51415,0.85702,0.000388345,0.000388345,0.000388345
27,724.358,0.25528,0.61534,0.90331,0.76766,0.99543,0.8097,0.79619,0.19944,0.5213,0.85086,0.000373119,0.000373119,0.000373119
28,751.915,0.25296,0.61002,0.9065,0.76591,0.99574,0.80614,0.79649,0.20134,0.51668,0.84861,0.000357893,0.000357893,0.000357893
29,777.966,0.25104,0.59453,0.89962,0.77032,0.99924,0.80164,0.79314,0.18804,0.48933,0.84123,0.000342666,0.000342666,0.000342666
30,806.448,0.25646,0.60525,0.90764,0.77196,0.98835,0.8223,0.81242,0.19778,0.52568,0.84765,0.00032744,0.00032744,0.00032744
31,832.901,0.24807,0.59792,0.90103,0.76855,0.99405,0.80915,0.80001,0.19682,0.49453,0.84794,0.000312214,0.000312214,0.000312214
32,858.231,0.24601,0.58049,0.90274,0.77043,0.99471,0.81394,0.80446,0.20461,0.50704,0.84833,0.000296988,0.000296988,0.000296988
33,885.745,0.24706,0.59746,0.90233,0.76662,0.99547,0.8096,0.80077,0.19167,0.48487,0.84265,0.000281762,0.000281762,0.000281762
34,912.794,0.24178,0.58059,0.89637,0.76642,0.99592,0.81681,0.80607,0.18254,0.47555,0.84297,0.000266535,0.000266535,0.000266535
35,939.034,0.23806,0.57328,0.89755,0.76442,0.99613,0.81979,0.80901,0.1859,0.49003,0.8425,0.000251309,0.000251309,0.000251309
36,965.503,0.236,0.58408,0.90076,0.76877,0.99647,0.85196,0.84316,0.19601,0.4746,0.84967,0.000236083,0.000236083,0.000236083
37,992.776,0.22892,0.58113,0.90045,0.76871,0.99604,0.84142,0.83141,0.1866,0.47689,0.84362,0.000220857,0.000220857,0.000220857
38,1019.9,0.23359,0.57371,0.90276,0.77246,0.99477,0.81834,0.81059,0.19037,0.46875,0.84721,0.000205631,0.000205631,0.000205631
39,1045.25,0.23119,0.56316,0.89836,0.77119,0.99617,0.8336,0.82587,0.18257,0.48133,0.8456,0.000190404,0.000190404,0.000190404
40,1073.12,0.22423,0.55422,0.89583,0.7707,0.99502,0.8335,0.82656,0.1718,0.47193,0.83943,0.000175178,0.000175178,0.000175178
41,1100.06,0.19276,0.45461,0.84903,0.76817,0.99355,0.82213,0.81617,0.16932,0.47377,0.83778,0.000159952,0.000159952,0.000159952
42,1125.11,0.18688,0.43374,0.846,0.76866,0.99672,0.80061,0.79461,0.16541,0.48769,0.83823,0.000144726,0.000144726,0.000144726
43,1151.86,0.17863,0.42657,0.84241,0.77206,0.99398,0.8313,0.82612,0.1658,0.46905,0.83977,0.0001295,0.0001295,0.0001295
44,1178.64,0.17511,0.42252,0.84202,0.77079,0.99719,0.81443,0.80974,0.16382,0.46769,0.83686,0.000114273,0.000114273,0.000114273
45,1203.4,0.17117,0.41904,0.84478,0.76909,0.99731,0.80519,0.79995,0.16366,0.468,0.83848,9.90472e-05,9.90472e-05,9.90472e-05
46,1230.93,0.16833,0.41617,0.84071,0.76738,0.99726,0.82134,0.81611,0.15623,0.45587,0.8344,8.3821e-05,8.3821e-05,8.3821e-05
47,1257.21,0.164,0.41233,0.84112,0.77054,0.99745,0.83574,0.83119,0.16241,0.45646,0.83526,6.85948e-05,6.85948e-05,6.85948e-05
48,1281.64,0.1582,0.40449,0.83351,0.76832,0.99742,0.82053,0.81611,0.15396,0.46149,0.83562,5.33686e-05,5.33686e-05,5.33686e-05
49,1308.6,0.15963,0.40754,0.83722,0.7689,0.99734,0.81116,0.80666,0.15308,0.47091,0.837,3.81424e-05,3.81424e-05,3.81424e-05
50,1334.84,0.15506,0.40182,0.83601,0.76954,0.99744,0.79527,0.79156,0.1624,0.48598,0.84172,2.29162e-05,2.29162e-05,2.29162e-05
