epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.7827,1.642,9.69553,1.13338,0.42374,0.11083,0.08404,0.06317,1.58041,4.23407,1.1669,0.000251586,0.000251586,0.000251586
2,47.7109,1.38231,2.75887,0.9974,0.34513,0.28708,0.21102,0.16151,1.49372,3.01249,1.14976,0.000497863,0.000497863,0.000497863
3,67.6574,1.26215,2.20819,0.96932,0.35203,0.29689,0.33222,0.23956,1.49554,2.16141,1.28397,0.000733989,0.000733989,0.000733989
4,86.8413,1.15035,1.85653,0.92801,0.31573,0.52696,0.39316,0.27748,1.56588,1.71306,1.30757,0.000723321,0.000723321,0.000723321
5,106.201,1.15584,1.75199,0.93791,0.34013,0.50844,0.43877,0.30747,1.52741,1.54694,1.26449,0.000708095,0.000708095,0.000708095
6,125.319,1.09819,1.54492,0.91668,0.43816,0.53584,0.45478,0.32807,1.61989,1.77274,1.24819,0.000692869,0.000692869,0.000692869
7,144.264,1.09926,1.4863,0.92793,0.42345,0.60132,0.49764,0.3401,1.53544,1.50891,1.18333,0.000677643,0.000677643,0.000677643
8,162.908,1.07847,1.39598,0.92411,0.53064,0.51135,0.49108,0.35246,1.43977,1.47129,1.23249,0.000662417,0.000662417,0.000662417
9,180.841,1.09778,1.37601,0.91664,0.51238,0.50255,0.52317,0.36886,1.46686,1.3243,1.20485,0.00064719,0.00064719,0.00064719
10,199.727,1.04889,1.28251,0.90388,0.54323,0.59558,0.55183,0.39232,1.39574,1.29322,1.15925,0.000631964,0.000631964,0.000631964
11,218.558,1.0342,1.26115,0.90083,0.52853,0.61045,0.55527,0.42504,1.3677,1.27501,1.16738,0.000616738,0.000616738,0.000616738
12,237.509,0.99285,1.20075,0.89321,0.58332,0.58008,0.56331,0.41485,1.46122,1.39108,1.14217,0.000601512,0.000601512,0.000601512
13,257.29,1.00221,1.17583,0.88571,0.52659,0.59675,0.56524,0.41428,1.44456,1.20436,1.17295,0.000586286,0.000586286,0.000586286
14,276.163,0.98406,1.16227,0.89889,0.51659,0.68186,0.57739,0.40986,1.43643,1.1313,1.19779,0.000571059,0.000571059,0.000571059
15,294.248,0.98657,1.1284,0.89154,0.48692,0.6211,0.60426,0.44475,1.34932,1.0523,1.16079,0.000555833,0.000555833,0.000555833
16,312.535,0.96835,1.11275,0.87318,0.52821,0.56189,0.59332,0.43089,1.40404,1.14639,1.19113,0.000540607,0.000540607,0.000540607
17,330.677,1.01325,1.10452,0.88994,0.48849,0.65704,0.58166,0.42231,1.42173,1.14304,1.18357,0.000525381,0.000525381,0.000525381
18,348.8,0.98962,1.08702,0.89214,0.49245,0.59967,0.58801,0.42009,1.33426,1.15993,1.15267,0.000510155,0.000510155,0.000510155
19,367.129,0.96321,1.05838,0.89054,0.57945,0.55284,0.60626,0.44789,1.35949,1.04975,1.15883,0.000494928,0.000494928,0.000494928
20,385.574,0.96135,1.04874,0.87891,0.49154,0.65584,0.58903,0.42941,1.35171,1.00326,1.13509,0.000479702,0.000479702,0.000479702
21,403.92,0.94588,1.02245,0.87694,0.47683,0.67079,0.61892,0.45705,1.34623,1.02629,1.15527,0.000464476,0.000464476,0.000464476
22,422.907,0.93925,1.01316,0.88167,0.5256,0.69189,0.59515,0.43236,1.38623,1.06146,1.13768,0.00044925,0.00044925,0.00044925
23,442.429,0.9395,1.03768,0.87448,0.57019,0.73466,0.61393,0.4476,1.35384,1.112,1.10534,0.000434024,0.000434024,0.000434024
24,461.001,0.94789,1.00376,0.87355,0.59177,0.67491,0.61589,0.44844,1.34682,1.16122,1.10922,0.000418797,0.000418797,0.000418797
25,479.414,0.91667,0.97049,0.87732,0.57294,0.71522,0.61896,0.45324,1.34558,1.01455,1.17553,0.000403571,0.000403571,0.000403571
26,497.955,0.92852,0.94513,0.87346,0.55531,0.69669,0.65016,0.47054,1.35716,1.02703,1.13632,0.000388345,0.000388345,0.000388345
27,516.465,0.92607,0.95277,0.8688,0.59948,0.58789,0.64035,0.47145,1.26465,1.00014,1.11187,0.000373119,0.000373119,0.000373119
28,535.282,0.91833,0.90699,0.8746,0.59652,0.71272,0.64422,0.4875,1.2783,1.01942,1.11697,0.000357893,0.000357893,0.000357893
29,553.84,0.90134,0.90966,0.86718,0.63083,0.67738,0.61286,0.44262,1.3072,1.10309,1.11637,0.000342666,0.000342666,0.000342666
30,572.671,0.91222,0.91659,0.86316,0.56334,0.72512,0.65347,0.47786,1.32149,1.04071,1.10014,0.00032744,0.00032744,0.00032744
31,591.985,0.91062,0.91368,0.86808,0.55501,0.62757,0.61134,0.45987,1.28125,1.11102,1.10032,0.000312214,0.000312214,0.000312214
32,611.041,0.87534,0.89482,0.85792,0.60198,0.67226,0.65342,0.47948,1.26795,1.0532,1.12589,0.000296988,0.000296988,0.000296988
33,629.991,0.90077,0.8665,0.85204,0.68465,0.6695,0.65235,0.48555,1.28483,1.051,1.10115,0.000281762,0.000281762,0.000281762
34,648.563,0.87908,0.8596,0.8541,0.60574,0.68998,0.6483,0.48897,1.32713,1.0242,1.12329,0.000266535,0.000266535,0.000266535
