epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.7075,0.92704,0.96221,0.85497,0.54939,0.71227,0.67094,0.50198,1.11294,1.09781,1.00029,0.000251586,0.000251586,0.000251586
2,58.1817,0.95361,1.02466,0.86833,0.52718,0.75443,0.64188,0.47223,1.08233,1.15042,1.02342,0.000482778,0.000482778,0.000482778
3,78.3159,0.95713,1.0506,0.87502,0.47551,0.65055,0.62326,0.44779,1.15238,1.39673,1.04413,0.000688592,0.000688592,0.000688592
4,98.1989,0.96284,1.07498,0.86282,0.51229,0.66774,0.59859,0.42704,1.14496,1.29361,1.06286,0.000654804,0.000654804,0.000654804
5,118.017,0.95774,1.05201,0.87273,0.78395,0.49695,0.61441,0.44071,1.1341,1.28007,1.03582,0.000616738,0.000616738,0.000616738
6,138.439,0.93365,1.02287,0.86391,0.53622,0.68346,0.63849,0.45906,1.13379,1.36022,1.03792,0.000578672,0.000578672,0.000578672
7,158.152,0.94718,1.01608,0.86957,0.66821,0.55988,0.6574,0.46171,1.09802,1.38886,1.03445,0.000540607,0.000540607,0.000540607
8,177.755,0.93711,0.95087,0.86997,0.75089,0.58816,0.62266,0.45406,1.1215,1.2318,1.06865,0.000502541,0.000502541,0.000502541
9,197.559,0.93035,0.9626,0.86272,0.65406,0.69003,0.671,0.50093,1.11714,1.16336,1.0323,0.000464476,0.000464476,0.000464476
10,217.419,0.90491,0.94543,0.85657,0.69412,0.65058,0.66538,0.48493,1.10997,1.22087,1.03899,0.000426411,0.000426411,0.000426411
11,238.828,0.86289,0.85753,0.86831,0.78582,0.61216,0.70975,0.52325,1.08033,1.10129,1.01336,0.000388345,0.000388345,0.000388345
12,263.046,0.86174,0.84855,0.85432,0.56416,0.63891,0.66277,0.48907,1.09579,1.10674,1.01802,0.00035028,0.00035028,0.00035028
13,281.615,0.86482,0.79003,0.85196,0.76196,0.68484,0.72957,0.52373,1.09119,1.08982,1.01192,0.000312214,0.000312214,0.000312214
14,301.003,0.83147,0.7537,0.84894,0.77725,0.61449,0.68892,0.49062,1.05303,1.06737,1.0024,0.000274148,0.000274148,0.000274148
15,319.604,0.82303,0.74255,0.8517,0.75573,0.64391,0.70267,0.52815,1.03469,1.04635,0.99682,0.000236083,0.000236083,0.000236083
16,339.044,0.82151,0.71578,0.84831,0.83738,0.57509,0.71214,0.53133,1.04401,1.06429,1.00835,0.000198018,0.000198018,0.000198018
17,359.805,0.80606,0.68611,0.84367,0.83786,0.60372,0.72964,0.54338,1.03094,1.01827,0.9977,0.000159952,0.000159952,0.000159952
18,379.462,0.79508,0.68437,0.83898,0.66582,0.66543,0.72653,0.53122,1.03415,0.99821,0.9993,0.000121887,0.000121887,0.000121887
19,398.217,0.79174,0.66079,0.84236,0.73759,0.70643,0.73177,0.54422,1.02309,0.98299,1.00131,8.3821e-05,8.3821e-05,8.3821e-05
20,417.792,0.77022,0.64484,0.83729,0.79322,0.65959,0.74363,0.54656,1.02281,0.95941,0.99137,4.57555e-05,4.57555e-05,4.57555e-05
