epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.6687,1.55647,5.17399,0.98938,0.0029,0.23584,0.05707,0.0402,1.25665,3.78201,0.98605,0.000251586,0.000251586,0.000251586
2,49.4393,1.45442,3.77552,0.96079,0.36883,0.24283,0.21485,0.15015,1.3,2.53198,1.04427,0.000499793,0.000499793,0.000499793
3,69.7193,1.43616,3.3182,0.98833,0.33885,0.26769,0.24568,0.14933,1.42554,2.57071,1.21793,0.000739797,0.000739797,0.000739797
4,89.1323,1.33514,2.98765,0.94462,0.20327,0.49634,0.29889,0.20633,1.36946,2.17252,1.10131,0.000732088,0.000732088,0.000732088
5,110.331,1.28478,2.68389,0.94469,0.38497,0.41559,0.36541,0.23772,1.44826,2.13308,1.20454,0.000719784,0.000719784,0.000719784
6,131.571,1.29377,2.48437,0.93898,0.40469,0.52267,0.38218,0.23683,1.43255,1.90508,1.18973,0.00070748,0.00070748,0.00070748
7,151.306,1.25903,2.33199,0.93539,0.34204,0.51915,0.40715,0.25923,1.34649,1.68178,1.1753,0.000695176,0.000695176,0.000695176
8,171.557,1.26468,2.23325,0.93236,0.35018,0.70573,0.41013,0.27007,1.38833,1.87605,1.14702,0.000682872,0.000682872,0.000682872
9,191.501,1.30139,2.11776,0.94669,0.32839,0.61151,0.40834,0.25521,1.42567,1.78575,1.16634,0.000670568,0.000670568,0.000670568
10,212.795,1.24714,2.02203,0.92848,0.48916,0.5884,0.51306,0.31772,1.36543,1.45991,1.13635,0.000658264,0.000658264,0.000658264
11,233.265,1.20186,1.91092,0.91876,0.39865,0.54362,0.46515,0.31494,1.32475,1.43542,1.14594,0.00064596,0.00064596,0.00064596
12,253.052,1.22791,1.81115,0.93343,0.32493,0.63221,0.47917,0.32018,1.27854,1.59006,1.14539,0.000633656,0.000633656,0.000633656
13,272.851,1.2364,1.7915,0.93154,0.47064,0.5138,0.51135,0.35853,1.27114,1.35158,1.12174,0.000621352,0.000621352,0.000621352
14,292.979,1.2261,1.71036,0.92237,0.48218,0.46434,0.50653,0.33722,1.30817,1.44991,1.07335,0.000609048,0.000609048,0.000609048
