epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,19.8557,1.40248,0.90726,1,0.5968,0.000234222,0.000234222,0.000234222
2,37.084,0.22391,0.9879,1,0.024,0.000462872,0.000462872,0.000462872
3,54.7323,0.0481,0.99597,1,0.01542,0.000682097,0.000682097,0.000682097
4,71.4797,0.03369,0.99194,1,0.01246,0.000671588,0.000671588,0.000671588
5,88.5453,0.01927,1,1,0.00155,0.000657451,0.000657451,0.000657451
6,105.577,0.01469,1,1,0.00293,0.000643314,0.000643314,0.000643314
7,122.994,0.01574,1,1,0.00145,0.000629177,0.000629177,0.000629177
8,139.45,0.0045,1,1,0.00151,0.00061504,0.00061504,0.00061504
9,155.896,0.00491,1,1,0.00076,0.000600902,0.000600902,0.000600902
10,171.493,0.01101,1,1,0.00043,0.000586765,0.000586765,0.000586765
11,187.889,0.00745,1,1,0.00026,0.000572628,0.000572628,0.000572628
12,209.786,0.00528,1,1,0.00121,0.000558491,0.000558491,0.000558491
13,226.115,0.00347,1,1,0.00061,0.000544354,0.000544354,0.000544354
14,242.944,0.00329,1,1,0.00037,0.000530216,0.000530216,0.000530216
15,258.965,0.00338,1,1,0.00085,0.000516079,0.000516079,0.000516079
16,275.062,0.00226,1,1,0.00011,0.000501942,0.000501942,0.000501942
17,292.101,0.00674,0.99597,1,0.00866,0.000487805,0.000487805,0.000487805
18,308.803,0.01014,1,1,0.0005,0.000473668,0.000473668,0.000473668
19,325.703,0.00789,1,1,0.00087,0.00045953,0.00045953,0.00045953
20,342.429,0.00484,1,1,0.00037,0.000445393,0.000445393,0.000445393
21,359.736,0.00637,1,1,0.00015,0.000431256,0.000431256,0.000431256
22,376.55,0.00353,1,1,0.00123,0.000417119,0.000417119,0.000417119
23,395.655,0.00871,1,1,0.00216,0.000402982,0.000402982,0.000402982
24,411.865,0.00399,1,1,0.00024,0.000388844,0.000388844,0.000388844
25,426.953,0.00142,1,1,0.00015,0.000374707,0.000374707,0.000374707
26,443.159,0.00202,1,1,6e-05,0.00036057,0.00036057,0.00036057
27,459.161,0.00233,1,1,6e-05,0.000346433,0.000346433,0.000346433
28,476.032,0.00229,1,1,8e-05,0.000332296,0.000332296,0.000332296
29,494.76,0.00332,1,1,0.00014,0.000318158,0.000318158,0.000318158
30,511.439,0.00168,1,1,9e-05,0.000304021,0.000304021,0.000304021
31,528.161,0.00069,1,1,0.0001,0.000289884,0.000289884,0.000289884
32,545.203,0.00176,1,1,8e-05,0.000275747,0.000275747,0.000275747
33,561.883,0.00341,1,1,0.00011,0.00026161,0.00026161,0.00026161
34,580.866,0.00073,1,1,0.0001,0.000247472,0.000247472,0.000247472
35,599.036,0.00046,1,1,6e-05,0.000233335,0.000233335,0.000233335
36,615.586,0.00163,1,1,5e-05,0.000219198,0.000219198,0.000219198
37,632.503,0.00252,1,1,4e-05,0.000205061,0.000205061,0.000205061
38,649.631,0.0027,1,1,4e-05,0.000190924,0.000190924,0.000190924
39,666.887,0.00095,1,1,3e-05,0.000176786,0.000176786,0.000176786
40,683.704,0.00051,1,1,3e-05,0.000162649,0.000162649,0.000162649
41,702.015,0.00039,1,1,3e-05,0.000148512,0.000148512,0.000148512
42,719.333,0.00196,1,1,4e-05,0.000134375,0.000134375,0.000134375
43,736.402,0.0027,1,1,4e-05,0.000120238,0.000120238,0.000120238
44,752.471,0.00089,1,1,5e-05,0.0001061,0.0001061,0.0001061
45,768.717,0.00325,1,1,4e-05,9.19632e-05,9.19632e-05,9.19632e-05
46,786.618,0.00087,1,1,4e-05,7.7826e-05,7.7826e-05,7.7826e-05
47,803.238,0.00027,1,1,3e-05,6.36888e-05,6.36888e-05,6.36888e-05
48,819.673,0.00093,1,1,4e-05,4.95516e-05,4.95516e-05,4.95516e-05
49,836.563,0.0003,1,1,3e-05,3.54144e-05,3.54144e-05,3.54144e-05
50,853.056,0.00293,1,1,3e-05,2.12772e-05,2.12772e-05,2.12772e-05
