epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,19.1923,1.51151,0.54032,1,1.04761,0.000234222,0.000234222,0.000234222
2,34.5673,0.84717,0.61694,1,0.59937,0.000462872,0.000462872,0.000462872
3,53.8836,0.69284,0.62097,1,0.60559,0.000682097,0.000682097,0.000682097
4,69.9289,0.63727,0.68548,1,0.51831,0.000671588,0.000671588,0.000671588
5,85.9775,0.59005,0.66532,1,0.52911,0.000657451,0.000657451,0.000657451
6,102.634,0.53678,0.81048,1,0.44312,0.000643314,0.000643314,0.000643314
7,118.319,0.45395,0.85081,1,0.37921,0.000629177,0.000629177,0.000629177
8,133.987,0.42199,0.82258,1,0.36511,0.00061504,0.00061504,0.00061504
9,150.034,0.36379,0.92339,1,0.21191,0.000600902,0.000600902,0.000600902
10,165.921,0.33751,0.87097,1,0.29578,0.000586765,0.000586765,0.000586765
11,182.3,0.29676,0.92742,1,0.21021,0.000572628,0.000572628,0.000572628
12,198.337,0.27145,0.96371,1,0.11639,0.000558491,0.000558491,0.000558491
13,214.305,0.2655,0.83468,1,0.284,0.000544354,0.000544354,0.000544354
14,229.791,0.21174,0.95968,1,0.12206,0.000530216,0.000530216,0.000530216
15,244.888,0.19998,0.89113,1,0.25482,0.000516079,0.000516079,0.000516079
16,260.24,0.21615,0.93952,1,0.13405,0.000501942,0.000501942,0.000501942
17,278.42,0.18564,0.93952,1,0.1523,0.000487805,0.000487805,0.000487805
18,300.643,0.18102,0.95565,1,0.10665,0.000473668,0.000473668,0.000473668
19,315.92,0.17174,0.95565,1,0.10242,0.00045953,0.00045953,0.00045953
20,331.358,0.15567,0.94355,1,0.19009,0.000445393,0.000445393,0.000445393
21,346.85,0.17619,0.90726,1,0.19803,0.000431256,0.000431256,0.000431256
22,363.011,0.16602,0.94758,1,0.12657,0.000417119,0.000417119,0.000417119
23,378.976,0.16033,0.95565,1,0.11548,0.000402982,0.000402982,0.000402982
24,395.465,0.16258,0.89919,1,0.26614,0.000388844,0.000388844,0.000388844
25,412.028,0.12993,0.96371,1,0.13286,0.000374707,0.000374707,0.000374707
26,427.636,0.13799,0.95968,1,0.13023,0.00036057,0.00036057,0.00036057
27,443.769,0.13242,0.94355,1,0.1331,0.000346433,0.000346433,0.000346433
28,459.776,0.13999,0.92339,1,0.15988,0.000332296,0.000332296,0.000332296
29,478.963,0.12997,0.94758,1,0.11575,0.000318158,0.000318158,0.000318158
30,495.02,0.11127,0.93145,1,0.16098,0.000304021,0.000304021,0.000304021
31,510.93,0.10813,0.94758,1,0.14444,0.000289884,0.000289884,0.000289884
32,526.399,0.12124,0.94355,1,0.16228,0.000275747,0.000275747,0.000275747
33,542.147,0.11604,0.94355,1,0.15794,0.00026161,0.00026161,0.00026161
34,558.136,0.11939,0.95968,1,0.14732,0.000247472,0.000247472,0.000247472
35,574.203,0.10304,0.94355,1,0.15325,0.000233335,0.000233335,0.000233335
36,590.017,0.08863,0.93952,1,0.15362,0.000219198,0.000219198,0.000219198
37,605.696,0.09219,0.94355,1,0.13297,0.000205061,0.000205061,0.000205061
38,621.171,0.0912,0.94758,1,0.11884,0.000190924,0.000190924,0.000190924
39,636.333,0.0996,0.94758,1,0.13662,0.000176786,0.000176786,0.000176786
40,651.782,0.09591,0.95161,1,0.11681,0.000162649,0.000162649,0.000162649
41,668.56,0.08285,0.95161,1,0.15016,0.000148512,0.000148512,0.000148512
42,693.129,0.08786,0.97177,1,0.08807,0.000134375,0.000134375,0.000134375
43,709.309,0.09975,0.95565,1,0.13972,0.000120238,0.000120238,0.000120238
44,724.653,0.09322,0.95968,1,0.11682,0.0001061,0.0001061,0.0001061
45,739.592,0.08179,0.95968,1,0.11275,9.19632e-05,9.19632e-05,9.19632e-05
46,755.363,0.07368,0.96371,1,0.10466,7.7826e-05,7.7826e-05,7.7826e-05
47,770.783,0.08133,0.96371,1,0.12479,6.36888e-05,6.36888e-05,6.36888e-05
48,787.81,0.07961,0.96371,1,0.09505,4.95516e-05,4.95516e-05,4.95516e-05
49,804.954,0.07072,0.95968,1,0.10786,3.54144e-05,3.54144e-05,3.54144e-05
50,820.522,0.08791,0.96371,1,0.10908,2.12772e-05,2.12772e-05,2.12772e-05
